mapping_key,country,iso3,year,cpi_score,cpi_score_cat,cpi_score_cat2,country_label
MALTA-2019,MALTA,MLT,2019,54.0,50.0,7.0,21
MALTA-2020,MALTA,MLT,2020,53.0,50.0,7.0,21
MALTA-2021,MALTA,MLT,2021,56.0,60.0,7.0,21
THENETHERLANDS-2018,THE NETHERLANDS,NLD,2018,82.0,80.0,9.0,29
THENETHERLANDS-2019,THE NETHERLANDS,NLD,2019,82.0,80.0,9.0,29
THENETHERLANDS-2020,THE NETHERLANDS,NLD,2020,82.0,80.0,9.0,29
THENETHERLANDS-2021,THE NETHERLANDS,NLD,2021,83.0,80.0,9.0,29
NORWAY-2018,NORWAY,NOR,2018,84.0,80.0,9.0,22
NORWAY-2019,NORWAY,NOR,2019,84.0,80.0,9.0,22
NORWAY-2020,NORWAY,NOR,2020,84.0,80.0,9.0,22
NORWAY-2021,NORWAY,NOR,2021,85.0,80.0,9.0,22
POLAND-2018,POLAND,POL,2018,60.0,60.0,7.0,23
POLAND-2019,POLAND,POL,2019,58.0,60.0,7.0,23
POLAND-2020,POLAND,POL,2020,56.0,60.0,7.0,23
POLAND-2021,POLAND,POL,2021,60.0,60.0,7.0,23
PORTUGAL-2018,PORTUGAL,PRT,2018,64.0,60.0,8.0,24
PORTUGAL-2019,PORTUGAL,PRT,2019,62.0,60.0,8.0,24
PORTUGAL-2020,PORTUGAL,PRT,2020,61.0,60.0,8.0,24
PORTUGAL-2021,PORTUGAL,PRT,2021,63.0,60.0,8.0,24
ROMANIA-2018,ROMANIA,ROU,2018,47.0,50.0,6.0,25
ROMANIA-2019,ROMANIA,ROU,2019,44.0,40.0,5.0,25
ROMANIA-2020,ROMANIA,ROU,2020,44.0,40.0,5.0,25
ROMANIA-2021,ROMANIA,ROU,2021,45.0,40.0,6.0,25
SLOVAKIA-2018,SLOVAKIA,SVK,2018,50.0,50.0,6.0,26
SLOVAKIA-2019,SLOVAKIA,SVK,2019,50.0,50.0,6.0,26
SLOVAKIA-2020,SLOVAKIA,SVK,2020,49.0,50.0,6.0,26
SLOVAKIA-2021,SLOVAKIA,SVK,2021,49.0,50.0,6.0,26
SPAIN-2018,SPAIN,ESP,2018,58.0,60.0,7.0,27
SPAIN-2019,SPAIN,ESP,2019,62.0,60.0,8.0,27
SPAIN-2020,SPAIN,ESP,2020,62.0,60.0,8.0,27
SPAIN-2021,SPAIN,ESP,2021,60.0,60.0,7.0,27
SWEDEN-2018,SWEDEN,SWE,2018,85.0,80.0,9.0,28
SWEDEN-2019,SWEDEN,SWE,2019,85.0,80.0,9.0,28
SWEDEN-2020,SWEDEN,SWE,2020,85.0,80.0,9.0,28
SWEDEN-2021,SWEDEN,SWE,2021,87.0,90.0,9.0,28
UNITEDKINGDOM-2018,UNITED KINGDOM,GBR,2018,80.0,80.0,9.0,30
UNITEDKINGDOM-2019,UNITED KINGDOM,GBR,2019,77.0,80.0,9.0,30
UNITEDKINGDOM-2020,UNITED KINGDOM,GBR,2020,77.0,80.0,9.0,30
UNITEDKINGDOM-2021,UNITED KINGDOM,GBR,2021,78.0,80.0,9.0,30
ISLEOFMAN-2021,ISLE OF MAN,IMN,2021,,,,15
ISLEOFMAN-2020,ISLE OF MAN,IMN,2020,,,,15
ISLEOFMAN-2019,ISLE OF MAN,IMN,2019,,,,15
ISLEOFMAN-2018,ISLE OF MAN,IMN,2018,,,,15
LIECHTENSTEIN-2021,LIECHTENSTEIN,LIE,2021,,,,18
LIECHTENSTEIN-2020,LIECHTENSTEIN,LIE,2020,,,,18
LIECHTENSTEIN-2019,LIECHTENSTEIN,LIE,2019,,,,18
LIECHTENSTEIN-2018,LIECHTENSTEIN,LIE,2018,,,,18
